line_number,error_type,description,suspected_cause,full_line,line_preview,full_line_length,actual_error,has_comma,has_quote,has_newline_in_field,file_name,file_path,llm,model_run,run,domain,shot
172,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","GREGGS PLC,56102,10.2,7.8,32.6,18.1,35.4,38.7,45.8,54.2,42.3,57.7,51.6,48.4,63.2,36.8,5000-19,999,2024-10-30 15:47:33","GREGGS PLC,56102,10.2,7.8,32.6,18.1,35.4,38.7,45.8,54.2,42.3,57.7,51.6,48.4,63.2,36.8,5000-19,999,20",118,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
173,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","O2 (UK) LIMITED,61100,16.8,13.5,49.3,30.6,48.1,53.7,33.2,66.8,36.9,63.1,44.5,55.5,65.3,34.7,5000-19,999,2025-03-15 08:29:15","O2 (UK) LIMITED,61100,16.8,13.5,49.3,30.6,48.1,53.7,33.2,66.8,36.9,63.1,44.5,55.5,65.3,34.7,5000-19,",124,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
175,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","BOOTS UK LIMITED,47730,13.4,10.6,38.7,22.4,40.2,44.5,41.3,58.7,38.6,61.4,48.1,51.9,60.8,39.2,5000-19,999,2025-01-25 09:41:37","BOOTS UK LIMITED,47730,13.4,10.6,38.7,22.4,40.2,44.5,41.3,58.7,38.6,61.4,48.1,51.9,60.8,39.2,5000-19",125,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
178,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","NEW LOOK RETAILERS LIMITED,14140,19.8,16.5,53.4,34.7,51.9,56.8,28.9,71.1,32.6,67.4,42.3,57.7,68.4,31.6,5000-19,999,2024-10-15 14:33:29","NEW LOOK RETAILERS LIMITED,14140,19.8,16.5,53.4,34.7,51.9,56.8,28.9,71.1,32.6,67.4,42.3,57.7,68.4,31",135,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
180,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","CINEWORLD UK LIMITED,59140,12.5,9.7,36.4,20.8,37.9,41.2,43.7,56.3,41.4,58.6,49.3,50.7,61.5,38.5,5000-19,999,2024-12-25 10:22:48","CINEWORLD UK LIMITED,59140,12.5,9.7,36.4,20.8,37.9,41.2,43.7,56.3,41.4,58.6,49.3,50.7,61.5,38.5,5000",128,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
181,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","VIRGIN MEDIA LIMITED,61100,15.9,12.7,48.6,29.3,47.2,52.8,34.8,65.2,38.5,61.5,45.7,54.3,64.1,35.9,5000-19,999,2025-01-12 15:48:33","VIRGIN MEDIA LIMITED,61100,15.9,12.7,48.6,29.3,47.2,52.8,34.8,65.2,38.5,61.5,45.7,54.3,64.1,35.9,500",129,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
183,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","PREMIER INNS LIMITED,55110,13.8,11.2,39.5,23.7,41.6,45.3,40.1,59.9,37.2,62.8,47.6,52.4,61.7,38.3,5000-19,999,2025-04-05 12:19:27","PREMIER INNS LIMITED,55110,13.8,11.2,39.5,23.7,41.6,45.3,40.1,59.9,37.2,62.8,47.6,52.4,61.7,38.3,500",129,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
184,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","LADBROKES CORAL GROUP PLC,92000,18.5,15.9,55.7,36.2,53.8,58.4,29.7,70.3,33.4,66.6,42.9,57.1,67.5,32.5,5000-19,999,2024-10-05 16:42:18","LADBROKES CORAL GROUP PLC,92000,18.5,15.9,55.7,36.2,53.8,58.4,29.7,70.3,33.4,66.6,42.9,57.1,67.5,32.",134,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
187,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","WH SMITH RETAIL LIMITED,47610,14.9,12.1,44.2,26.1,44.8,48.5,36.8,63.2,39.5,60.5,46.3,53.7,62.9,37.1,5000-19,999,2025-01-28 11:03:52","WH SMITH RETAIL LIMITED,47610,14.9,12.1,44.2,26.1,44.8,48.5,36.8,63.2,39.5,60.5,46.3,53.7,62.9,37.1,",132,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
188,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","ARGOS LIMITED,47110,15.2,12.5,45.8,27.9,45.1,49.6,35.4,64.6,38.1,61.9,44.7,55.3,63.2,36.8,5000-19,999,2024-11-25 13:48:16","ARGOS LIMITED,47110,15.2,12.5,45.8,27.9,45.1,49.6,35.4,64.6,38.1,61.9,44.7,55.3,63.2,36.8,5000-19,99",122,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
190,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","MARKS & SPENCER PLC,47110,12.8,10.3,37.1,21.6,39.4,42.8,42.6,57.4,39.7,60.3,48.9,51.1,59.7,40.3,5000-19,999,2024-10-18 15:29:47","MARKS & SPENCER PLC,47110,12.8,10.3,37.1,21.6,39.4,42.8,42.6,57.4,39.7,60.3,48.9,51.1,59.7,40.3,5000",128,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
191,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","B&Q PLC,47540,16.1,13.3,46.7,28.5,46.3,50.9,34.2,65.8,37.9,62.1,45.1,54.9,64.3,35.7,5000-19,999,2025-02-25 08:52:33","B&Q PLC,47540,16.1,13.3,46.7,28.5,46.3,50.9,34.2,65.8,37.9,62.1,45.1,54.9,64.3,35.7,5000-19,999,2025",116,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
192,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","SAINSBURY'S SUPERMARKETS LTD,47110,11.9,9.4,33.8,19.2,36.7,40.1,44.2,55.8,41.3,58.7,49.6,50.4,62.1,37.9,5000-19,999,2024-12-30 12:44:18","SAINSBURY'S SUPERMARKETS LTD,47110,11.9,9.4,33.8,19.2,36.7,40.1,44.2,55.8,41.3,58.7,49.6,50.4,62.1,3",136,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
193,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","ASDA STORES LIMITED,47110,13.5,10.8,39.7,23.1,40.8,44.2,41.7,58.3,38.9,61.1,47.3,52.7,60.4,39.6,5000-19,999,2025-01-05 09:18:55","ASDA STORES LIMITED,47110,13.5,10.8,39.7,23.1,40.8,44.2,41.7,58.3,38.9,61.1,47.3,52.7,60.4,39.6,5000",128,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
194,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","MORRISONS SUPERMARKETS PLC,47110,14.1,11.5,41.2,24.6,42.1,45.8,39.5,60.5,42.2,57.8,46.9,53.1,61.7,38.3,5000-19,999,2024-11-08 16:07:22","MORRISONS SUPERMARKETS PLC,47110,14.1,11.5,41.2,24.6,42.1,45.8,39.5,60.5,42.2,57.8,46.9,53.1,61.7,38",135,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
195,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","WAITROSE LIMITED,47110,10.6,8.2,30.4,16.8,34.2,37.9,46.8,53.2,43.5,56.5,51.2,48.8,58.3,41.7,5000-19,999,2025-03-25 13:35:41","WAITROSE LIMITED,47110,10.6,8.2,30.4,16.8,34.2,37.9,46.8,53.2,43.5,56.5,51.2,48.8,58.3,41.7,5000-19,",124,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
196,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","CO-OP FOOD LIMITED,47110,12.3,9.8,35.6,20.4,37.1,41.3,43.1,56.9,40.4,59.6,48.7,51.3,59.8,40.2,5000-19,999,2024-10-28 11:12:27","CO-OP FOOD LIMITED,47110,12.3,9.8,35.6,20.4,37.1,41.3,43.1,56.9,40.4,59.6,48.7,51.3,59.8,40.2,5000-1",126,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
198,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","ALDI STORES LIMITED,47110,11.4,8.9,32.1,17.5,35.8,38.4,45.3,54.7,42.1,57.9,50.3,49.7,61.4,38.6,5000-19,999,2024-12-18 15:26:33","ALDI STORES LIMITED,47110,11.4,8.9,32.1,17.5,35.8,38.4,45.3,54.7,42.1,57.9,50.3,49.7,61.4,38.6,5000-",127,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
199,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","LIDL UK GMBH,47110,12.7,10.1,36.9,21.2,38.6,42.1,42.8,57.2,39.7,60.3,47.5,52.5,60.2,39.8,5000-19,999,2025-01-20 10:45:48","LIDL UK GMBH,47110,12.7,10.1,36.9,21.2,38.6,42.1,42.8,57.2,39.7,60.3,47.5,52.5,60.2,39.8,5000-19,999",121,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
740,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","Meridian Retail Consortium,47110,11.9,9.8,25.6,15.2,22.1,28.5,31.0,69.0,29.0,71.0,36.0,64.0,48.0,52.0,5000-19,999,2025-03-11 10:07:55","Meridian Retail Consortium,47110,11.9,9.8,25.6,15.2,22.1,28.5,31.0,69.0,29.0,71.0,36.0,64.0,48.0,52.",134,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
742,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","Solent Health Trust,86102,5.2,3.8,8.5,6.1,11.3,14.7,21.0,79.0,24.0,76.0,30.0,70.0,38.0,62.0,20,000+,2025-04-01 12:15:39","Solent Health Trust,86102,5.2,3.8,8.5,6.1,11.3,14.7,21.0,79.0,24.0,76.0,30.0,70.0,38.0,62.0,20,000+,",120,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
757,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","BrightFuture Academies,85200,9.4,7.6,15.8,12.1,17.5,21.8,22.0,78.0,25.0,75.0,31.0,69.0,40.0,60.0,5000-19,999,2024-12-18 10:33:51","BrightFuture Academies,85200,9.4,7.6,15.8,12.1,17.5,21.8,22.0,78.0,25.0,75.0,31.0,69.0,40.0,60.0,500",129,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
762,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","Beacon Medical Centres,86210,6.1,4.7,9.2,7.3,12.6,16.1,19.0,81.0,23.0,77.0,29.0,71.0,36.0,64.0,20,000+,2025-04-05 08:15:29","Beacon Medical Centres,86210,6.1,4.7,9.2,7.3,12.6,16.1,19.0,81.0,23.0,77.0,29.0,71.0,36.0,64.0,20,00",123,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
