model,model_run,run_num,domain,shot_type,file_name,total_lines_in_file,total_data_rows,pandas_readable_rows,pandas_skipped_rows,total_rows_lost
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,employment,zero,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_employment_zero_csv.csv,1041,1040,952,88,88
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,employment,one,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_employment_one_csv.csv,1038,1037,933,104,104
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,employment,few,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_employment_few_csv.csv,1001,1000,946,54,54
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,hatecrime,zero,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1172,1171,777,394,394
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,hatecrime,one,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1007,1006,351,655,655
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,hatecrime,few,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1025,1024,334,690,690
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,lending,zero,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_lending_zero_csv.csv,1181,1180,1040,140,140
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,lending,one,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_lending_one_csv.csv,1101,1100,975,125,125
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run3,3,lending,few,llama-3.1-8b-instruct-run3-raw_finals_of_all_chunks_lending_few_csv.csv,1026,1025,1018,7,7
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,employment,zero,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_employment_zero_csv.csv,1011,1010,1010,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,employment,one,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_employment_one_csv.csv,1021,1020,1020,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,employment,few,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_employment_few_csv.csv,1068,1067,1067,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,hatecrime,zero,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1033,1032,1012,20,20
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,hatecrime,one,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1053,1052,1009,43,43
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,hatecrime,few,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1041,1040,1032,8,8
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,lending,zero,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_lending_zero_csv.csv,1011,1010,513,497,497
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,lending,one,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_lending_one_csv.csv,1017,1016,425,591,591
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run1,1,lending,few,qwen3-coder-30b-a3b-instruct-run1-raw_finals_of_all_chunks_lending_few_csv.csv,1018,1017,456,561,561
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,employment,zero,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_employment_zero_csv.csv,1019,1018,1018,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,employment,one,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_employment_one_csv.csv,1052,1051,1051,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,employment,few,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_employment_few_csv.csv,1053,1052,1052,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,hatecrime,zero,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1007,1006,987,19,19
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,hatecrime,one,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1021,1020,1019,1,1
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,hatecrime,few,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1034,1033,1031,2,2
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,lending,zero,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_lending_zero_csv.csv,1037,1036,703,333,333
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,lending,one,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_lending_one_csv.csv,1004,1003,461,542,542
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run2,2,lending,few,qwen3-coder-30b-a3b-instruct-run2-raw_finals_of_all_chunks_lending_few_csv.csv,1015,1014,630,384,384
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,employment,zero,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_employment_zero_csv.csv,1028,1027,1027,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,employment,one,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_employment_one_csv.csv,1020,1019,1019,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,employment,few,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_employment_few_csv.csv,1032,1031,1031,0,0
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,hatecrime,zero,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1079,1078,988,90,90
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,hatecrime,one,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1051,1050,1015,35,35
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,hatecrime,few,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1035,1034,1018,16,16
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,lending,zero,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_lending_zero_csv.csv,1018,1017,764,253,253
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,lending,one,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_lending_one_csv.csv,1016,1015,505,510,510
qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct-run3,3,lending,few,qwen3-coder-30b-a3b-instruct-run3-raw_finals_of_all_chunks_lending_few_csv.csv,1014,1013,629,384,384
