activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,19100,CO,31.0,31059004101.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,85000,12,9.0,5.25,3,4200,2100,1400,900,0,180,,,2,2,2,2,,695000,1,1,3,5,1,,92,17,1,1,1,1,1,1,5,5,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,45300,OR,51.0,51059002500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,465000,75,7.5,3.0,2,10200,4400,3300,1800,0,360,,,2,2,2,2,,620000,1,1,3,5,1,,128,34,1,1,2,5,1,4,3,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,28140,MA,25.0,25001010201.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,555000,85,7.625,3.25,2,11800,4900,3600,2000,0,360,,,2,2,2,2,,652000,1,1,3,5,1,,145,37,1,1,2,5,1,4,5,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,12540,IL,31.0,31043010700.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,1,1,295000,97,6.75,1.5,2,10500,4000,2900,1600,0,360,,,2,2,2,2,,304000,1,1,3,5,1,,85,48,1,1,1,2,1,1,2,2,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,29820,WI,79.0,79079010101.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,185000,100,6.25,0.5,2,4800,1900,1400,700,400,360,,,2,2,2,2,,185000,1,1,3,5,1,,58,29,1,1,2,5,1,4,5,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,36500,OH,35.0,35085020100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,1,375000,83,7.125,2.75,2,8600,3600,2700,1400,0,360,,,2,2,2,2,,452000,1,1,3,5,1,,112,39,3,3,4,4,3,3,7,7,3,3,4,4,3,3,45-54,35-44,No,No,1,1
2024,13820,FL,57.0,57103002201.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,385000,90,6.625,1.0,2,6900,2800,2100,900,0,360,,,2,2,2,2,,428000,1,1,3,5,1,,125,28,1,1,2,5,1,4,5,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,38300,NV,3.0,0302001001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,1,495000,89,7.875,3.75,2,13200,5500,4000,2300,0,360,,,2,2,2,2,,556000,1,1,3,5,1,,142,46,1,1,1,3,1,1,3,3,1,1,1,1,1,1,35-44,25-34,No,No,1,1
2024,38900,NJ,3.0,03017010200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,685000,77,7.375,2.5,2,14800,6200,4500,2500,0,360,,,2,2,2,2,,889000,1,1,3,5,1,,175,33,1,1,2,5,1,4,2,8,1,4,1,5,1,4,45-54,35-44,No,No,1,1
2024,17900,GA,63.0,63023010500.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,265000,96,6.875,1.75,2,9200,3500,2500,1400,0,360,,,2,2,2,2,,276000,1,1,3,5,1,,75,41,1,1,2,5,1,4,5,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,46140,SC,19.0,19019020100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,295000,84,7.5,2.75,2,7600,3200,2400,1200,0,360,,,2,2,2,2,,351000,1,1,3,5,1,,88,31,1,1,2,5,1,4,3,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,20260,DE,1.0,01001020100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,95000,18,8.75,4.75,3,4800,2400,1600,1000,0,180,,,2,2,2,2,,528000,1,1,3,5,1,,108,22,1,1,1,1,1,1,5,5,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,49180,UT,49.0,49035010301.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,445000,82,7.0,2.25,2,9200,3900,2900,1500,0,360,,,2,2,2,2,,543000,1,1,3,5,1,,132,29,1,1,2,5,1,4,5,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,33460,MD,510.0,51013010900.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,525000,87,6.75,1.25,2,8100,3300,2500,1100,0,360,,,2,2,2,2,,603000,1,1,3,5,1,,145,35,1,1,2,5,1,4,3,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,12620,IN,57.0,57035020200.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Female,1,1,235000,98,6.75,1.5,2,8800,3300,2300,1300,0,360,,,2,2,2,2,,240000,1,1,3,5,1,,68,47,1,1,1,2,1,1,2,2,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,15540,AL,73.0,73073010100.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,175000,100,6.125,0.25,2,4200,1700,1200,600,500,360,,,2,2,2,2,,175000,1,1,3,5,1,,52,27,1,1,2,5,1,4,5,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,47580,TX,423.0,42395010200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,1,520000,91,7.625,3.375,2,11500,4800,3500,1900,0,360,,,2,2,2,2,,571000,1,1,3,5,1,,158,42,3,3,4,4,3,3,7,7,3,3,4,4,3,3,45-54,35-44,No,No,1,1
2024,22180,CT,1.0,01009020200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,595000,79,7.125,2.5,2,10400,4300,3200,1600,0,360,,,2,2,2,2,,753000,1,1,3,5,1,,168,31,1,1,2,5,1,4,2,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,41180,MO,510.0,51019010700.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,355000,89,6.625,1.0,2,6600,2700,2000,900,0,360,,,2,2,2,2,,398000,1,1,3,5,1,,115,30,1,1,2,5,1,4,5,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,24220,AZ,401.0,40135010101.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,1,75000,14,8.5,4.5,3,3800,1900,1200,800,0,180,,,2,2,2,2,,535000,1,1,3,5,1,,95,18,1,1,1,3,1,1,3,3,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,38940,NJ,340.0,34017030100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,715000,73,7.5,2.75,2,15600,6400,4600,2700,0,360,,,2,2,2,2,,979000,1,1,3,5,1,,195,29,1,1,2,5,1,4,5,8,1,4,1,5,1,4,45-54,35-44,No,No,1,1
2024,12020,GA,131.0,13135020200.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,285000,95,6.875,1.75,2,9800,3700,2700,1500,0,360,,,2,2,2,2,,300000,1,1,3,5,1,,82,43,1,1,2,5,1,4,3,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,33100,NC,371.0,37183010700.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,365000,81,7.25,2.25,2,8200,3400,2500,1300,0,360,,,2,2,2,2,,451000,1,1,3,5,1,,108,32,1,1,2,5,1,4,5,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,22020,CT,900.0,90001010100.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Female,1,1,485000,86,6.75,1.25,2,7600,3100,2300,1000,0,360,,,2,2,2,2,,563000,1,1,3,5,1,,135,33,1,1,1,2,1,1,2,2,1,1,1,1,1,1,35-44,25-34,No,No,1,1
2024,19740,FL,115.0,11513010800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,5,1,410000,88,7.375,2.75,2,8900,3700,2700,1400,0,360,,,2,2,2,2,,466000,1,1,3,5,1,,122,37,3,3,4,4,3,3,7,7,3,3,4,4,3,3,45-54,35-44,No,No,1,1
2024,14460,TX,141.0,1410002002.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,245000,97,6.75,1.5,2,8600,3200,2300,1300,0,360,,,2,2,2,2,,252000,1,1,3,5,1,,71,46,1,1,2,5,1,4,3,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,16980,CA,37.0,37061003001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,785000,74,7.625,3.25,2,16500,6800,4900,2900,0,360,,,2,2,2,2,,1061000,1,1,3,5,1,,215,30,1,1,2,5,1,4,2,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,35620,NY,810.0,81059020100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,125000,22,8.25,4.75,3,5800,2900,1900,1200,0,180,,,2,2,2,2,,568000,1,1,3,5,1,,148,24,1,1,2,5,1,4,5,8,1,4,1,5,1,4,55-64,45-54,Yes,No,1,1
2024,46140,SC,450.0,45019030100.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,165000,100,6.125,0.25,2,3800,1500,1100,550,450,360,,,2,2,2,2,,165000,1,1,3,5,1,,48,26,1,1,2,5,1,4,5,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,38060,NC,183.0,18363010500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,395000,83,7.125,2.5,2,9100,3800,2800,1500,0,360,,,2,2,2,2,,476000,1,1,3,5,1,,118,35,1,1,1,5,1,4,5,8,1,4,1,5,1,4,35-44,25-34,No,No,1,1
2024,41860,MI,161.0,16163030100.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,385000,88,6.625,1.0,2,7100,2900,2200,950,0,360,,,2,2,2,2,,437000,1,1,3,5,1,,128,31,1,1,2,5,1,4,3,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,26420,AZ,130.0,13013020500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,525000,84,7.375,2.75,2,11200,4700,3400,1800,0,360,,,2,2,2,2,,625000,1,1,3,5,1,,152,33,1,1,2,5,1,4,5,8,1,4,1,5,1,4,45-54,35-44,No,No,1,1
2024,14460,TX,141.0,1410003001.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,1,275000,96,6.875,1.75,2,9400,3500,2500,1400,0,360,,,2,2,2,2,,286000,1,1,3,5,1,,78,44,3,3,4,4,3,3,7,7,3,3,4,4,3,3,25-34,25-34,No,No,1,1
2024,16980,CA,37.0,37061004001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,895000,72,7.75,3.5,2,17800,7300,5300,3100,0,360,,,2,2,2,2,,1243000,1,1,3,5,1,,235,28,1,1,2,5,1,4,2,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
