data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1994,Law Enforcement Agency,SC,South Carolina,1994-11-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Transportation,Anti-White,Single Victim,False,None
1995,Law Enforcement Agency,CO,Colorado,1995-12-01,1,0,1,1,0,Black,Unknown,1,Vandalism,1,School,Anti-Black,Single Victim,False,None
1996,Law Enforcement Agency,KY,Kentucky,1996-01-01,0,1,1,1,0,Hispanic,Unknown,1,Intimidation,1,Workplace,Anti-Hispanic,Single Victim,True,Anti-Female
1996,Law Enforcement Agency,VT,Vermont,1996-02-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Hotel,Anti-White,Single Victim,False,None
1997,Law Enforcement Agency,LA,Louisiana,1997-03-01,1,0,2,2,0,Asian,Unknown,2,Aggravated Assault,2,Street,Anti-Asian,Single Victim,False,None
1997,Law Enforcement Agency,IN,Indiana,1997-04-01,0,1,1,1,0,Black,Unknown,1,Vandalism,1,Restaurant,Anti-Black,Single Victim,True,Anti-Gay
1998,Law Enforcement Agency,MS,Mississippi,1998-05-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Transportation,Anti-White,Single Victim,False,None
1998,Law Enforcement Agency,RI,Rhode Island,1998-06-01,1,0,1,1,0,Hispanic,Unknown,1,Intimidation,1,Home,Anti-Hispanic,Single Victim,False,None
1999,Law Enforcement Agency,WV,West Virginia,1999-07-01,0,1,1,1,0,Asian,Unknown,1,Vandalism,1,School,Anti-Asian,Single Victim,True,Anti-Female
1999,Law Enforcement Agency,IA,Iowa,1999-08-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Hotel,Anti-White,Single Victim,False,None
2000,Law Enforcement Agency,AK,Alaska,2000-09-01,1,0,2,2,0,Black,Unknown,2,Aggravated Assault,2,Street,Anti-Black,Single Victim,False,None
2000,Law Enforcement Agency,DE,Delaware,2000-10-01,0,1,1,1,0,Hispanic,Unknown,1,Intimidation,1,Workplace,Anti-Hispanic,Single Victim,True,Anti-Gay
2001,Law Enforcement Agency,NM,New Mexico,2001-11-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Transportation,Anti-White,Single Victim,False,None
2001,Law Enforcement Agency,NE,Nebraska,2001-12-01,1,0,1,1,0,Asian,Unknown,1,Vandalism,1,Restaurant,Anti-Asian,Single Victim,False,None
2002,Law Enforcement Agency,UT,Utah,2002-01-01,0,1,1,1,0,Black,Unknown,1,Intimidation,1,Home,Anti-Black,Single Victim,True,Anti-Female
2002,Law Enforcement Agency,ME,Maine,2002-02-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Hotel,Anti-White,Single Victim,False,None
2003,Law Enforcement Agency,OK,Oklahoma,2003-03-01,1,0,2,2,0,Asian,Unknown,2,Aggravated Assault,2,Street,Anti-Asian,Single Victim,False,None
2003,Law Enforcement Agency,CT,Connecticut,2003-04-01,0,1,1,1,0,Hispanic,Unknown,1,Vandalism,1,School,Anti-Hispanic,Single Victim,True,Anti-Gay
2004,Law Enforcement Agency,AZ,Arizona,2004-05-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Transportation,Anti-White,Single Victim,False,None
2004,Law Enforcement Agency,OR,Oregon,2004-06-01,1,0,1,1,0,Black,Unknown,1,Intimidation,1,Workplace,Anti-Black,Single Victim,False,None
2005,Law Enforcement Agency,MD,Maryland,2005-07-01,0,1,1,1,0,Asian,Unknown,1,Vandalism,1,Restaurant,Anti-Asian,Single Victim,True,Anti-Female
2005,Law Enforcement Agency,MO,Missouri,2005-08-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Hotel,Anti-White,Single Victim,False,None
2006,Law Enforcement Agency,TN,Tennessee,2006-09-01,1,0,2,2,0,Hispanic,Unknown,2,Aggravated Assault,2,Street,Anti-Hispanic,Single Victim,False,None
2006,Law Enforcement Agency,AR,Arkansas,2006-10-01,0,1,1,1,0,Black,Unknown,1,Intimidation,1,Home,Anti-Black,Single Victim,True,Anti-Gay
2007,Law Enforcement Agency,WI,Wisconsin,2007-11-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Transportation,Anti-White,Single Victim,False,None
2007,Law Enforcement Agency,SD,South Dakota,2007-12-01,1,0,1,1,0,Asian,Unknown,1,Vandalism,1,Restaurant,Anti-Asian,Single Victim,False,None
2008,Law Enforcement Agency,MT,Montana,2008-01-01,0,1,1,1,0,Hispanic,Unknown,1,Intimidation,1,Workplace,Anti-Hispanic,Single Victim,True,Anti-Female
2008,Law Enforcement Agency,NV,Nevada,2008-02-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Hotel,Anti-White,Single Victim,False,None
2009,Law Enforcement Agency,KS,Kansas,2009-03-01,1,0,2,2,0,Asian,Unknown,2,Aggravated Assault,2,Street,Anti-Asian,Single Victim,False,None
2009,Law Enforcement Agency,HI,Hawaii,2009-04-01,0,1,1,1,0,Black,Unknown,1,Vandalism,1,School,Anti-Black,Single Victim,True,Anti-Gay
2010,Law Enforcement Agency,ID,Idaho,2010-05-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Transportation,Anti-White,Single Victim,False,None
2010,Law Enforcement Agency,ND,North Dakota,2010-06-01,1,0,1,1,0,Hispanic,Unknown,1,Intimidation,1,Workplace,Anti-Hispanic,Single Victim,False,None
2011,Law Enforcement Agency,VA,Virginia,2011-07-01,0,1,1,1,0,Asian,Unknown,1,Vandalism,1,Restaurant,Anti-Asian,Single Victim,True,Anti-Female
2011,Law Enforcement Agency,WY,Wyoming,2011-08-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Hotel,Anti-White,Single Victim,False,None
2012,Law Enforcement Agency,AL,Alabama,2012-09-01,1,0,2,2,0,Hispanic,Unknown,2,Aggravated Assault,2,Street,Anti-Hispanic,Single Victim,False,None
2012,Law Enforcement Agency,MN,Minnesota,2012-10-01,0,1,1,1,0,Black,Unknown,1,Intimidation,1,Home,Anti-Black,Single Victim,True,Anti-Gay
2013,Law Enforcement Agency,MI,Michigan,2013-11-01,2,0,1,1,0,White,Unknown,2,Simple Assault,2,Transportation,Anti-White,Single Victim,False,None
2013,Law Enforcement Agency,CO,Colorado,2013-12-01,1,0,1,1,0,Asian,Unknown,1,Vandalism,1,Restaurant,Anti-Asian,Single Victim,False,None
1991,State,FL,Florida,1991-05-01,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1,Parks and Recreation Area,Antisemitic,Adult,0,0
1993,Municipal,CA,California,1993-03-15,0,1,1,0,1,Asian,Not Hispanic or Latino,1,Vandalism,1,Parking Garage,Racist,Juvenile,1,0
1992,State,NY,New York,1992-08-20,1,0,1,1,0,Black,Not Hispanic or Latino,2,Hate Crime Against Sexual Orientation,2,Residence Hall,LGBTQ+ Hate Crime,Adult,0,0
1994,Municipal,IL,Illinois,1994-01-05,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,College/University Campus,Anti-Latino,Adult,0,0
1995,Municipal,MA,Massachusetts,1995-09-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,Business (Non-Retail),Racist,Juvenile,1,0
1996,Municipal,OH,Ohio,1996-06-15,1,0,1,1,0,Black,Not Hispanic or Latino,1,Hate Crime Against Disability,1,Parks and Recreation Area,Disability Hate Crime,Adult,0,0
1997,State,WI,Wisconsin,1997-10-01,1,0,2,1,1,White,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
1998,Municipal,GA,Georgia,1998-03-20,0,1,1,0,1,Asian,Not Hispanic or Latino,1,Vandalism,1,Residence Hall,Racist,Juvenile,1,0
1999,State,MI,Michigan,1999-05-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
2000,Municipal,TX,Texas,2000-01-05,1,0,1,1,0,Black,Not Hispanic or Latino,1,Hate Crime Against Disability,1,Business (Non-Retail),Disability Hate Crime,Adult,0,0
2001,Municipal,PA,Pennsylvania,2001-06-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,College/University Campus,Racist,Juvenile,1,0
2002,State,NC,North Carolina,2002-09-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
2003,Municipal,KS,Kansas,2003-03-15,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Business (Non-Retail),LGBTQ+ Hate Crime,Adult,0,0
2004,State,IN,Indiana,2004-01-01,1,0,2,1,1,Black,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
2005,Municipal,SC,South Carolina,2005-06-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,Parking Garage,Racist,Juvenile,1,0
2006,State,VT,Vermont,2006-09-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
2007,Municipal,LA,Louisiana,2007-03-15,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Business (Non-Retail),LGBTQ+ Hate Crime,Adult,0,0
2008,State,IL,Illinois,2008-01-01,1,0,2,1,1,Black,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
2009,Municipal,CO,Colorado,2009-06-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,Parks and Recreation Area,Racist,Juvenile,1,0
2010,State,ME,Maine,2010-09-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
2011,Municipal,MS,Mississippi,2011-03-15,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Business (Non-Retail),LGBTQ+ Hate Crime,Adult,0,0
2012,State,RI,Rhode Island,2012-01-01,1,0,2,1,1,Black,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
2013,Municipal,AR,Arkansas,2013-06-01,0,1,1,0,1,White,Not Hispanic or Latino,1,Simple Assault,1,Parking Garage,Racist,Juvenile,1,0
2014,State,IA,Iowa,2014-09-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
1991,State,FL,Florida,1991-06-01,0,1,1,0,1,Black,Not Hispanic or Latino,1,Vandalism,1,Parks and Recreation Area,Racist,Juvenile,1,0
1993,Municipal,CA,California,1993-04-15,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1,Parks and Recreation Area,Antisemitic,Adult,0,0
1992,State,NY,New York,1992-09-20,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Business (Non-Retail),Anti-Latino,Adult,0,0
1994,Municipal,IL,Illinois,1994-02-05,0,1,1,0,1,Asian,Not Hispanic or Latino,1,Vandalism,1,Parking Garage,Racist,Juvenile,1,0
1995,Municipal,MA,Massachusetts,1995-10-01,1,0,1,1,0,Black,Not Hispanic or Latino,1,Hate Crime Against Disability,1,Residence Hall,Disability Hate Crime,Adult,0,0
1996,Municipal,OH,Ohio,1996-07-15,1,0,2,1,1,White,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
1997,State,WI,Wisconsin,1997-11-01,1,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parks and Recreation Area,Anti-Latino,Adult,0,0
1998,Municipal,GA,Georgia,1998-04-20,0,1,1,0,1,Asian,Not Hispanic or Latino,1,Vandalism,1,Residence Hall,Racist,Juvenile,1,0
1999,State,MI,Michigan,1999-06-01,1,0,1,1,0,Black,Not Hispanic or Latino,1,Hate Crime Against Disability,1,Business (Non-Retail),Disability Hate Crime,Adult,0,0
2000,Municipal,TX,Texas,2000-02-05,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1,Parks and Recreation Area,Antisemitic,Adult,0,0
2001,Municipal,PA,Pennsylvania,2001-07-01,0,1,1,0,1,Hispanic or Latino,Not Hispanic or Latino,1,Vandalism,1,College/University Campus,Anti-Latino,Juvenile,1,0
2002,State,NC,North Carolina,2002-10-01,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Parks and Recreation Area,LGBTQ+ Hate Crime,Adult,0,0
2003,Municipal,KS,Kansas,2003-04-15,1,0,2,1,1,Black,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
2004,State,IN,Indiana,2004-02-01,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1,Parks and Recreation Area,Antisemitic,Adult,0,0
2005,Municipal,SC,South Carolina,2005-07-01,0,1,1,0,1,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parking Garage,Anti-Latino,Juvenile,1,0
2006,State,VT,Vermont,2006-10-01,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Business (Non-Retail),LGBTQ+ Hate Crime,Adult,0,0
2007,Municipal,LA,Louisiana,2007-04-15,1,0,1,1,0,Black,Not Hispanic or Latino,1,Hate Crime Against Disability,1,Parks and Recreation Area,Disability Hate Crime,Adult,0,0
2008,State,IL,Illinois,2008-02-01,1,0,2,1,1,White,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
2009,Municipal,CO,Colorado,2009-07-01,0,1,1,0,1,Hispanic or Latino,Not Hispanic or Latino,1,Vandalism,1,Parking Garage,Anti-Latino,Juvenile,1,0
2010,State,ME,Maine,2010-10-01,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Business (Non-Retail),LGBTQ+ Hate Crime,Adult,0,0
2011,Municipal,MS,Mississippi,2011-04-15,1,0,1,1,0,Black,Not Hispanic or Latino,1,Hate Crime Against Disability,1,Parks and Recreation Area,Disability Hate Crime,Adult,0,0
2012,State,RI,Rhode Island,2012-02-01,1,0,2,1,1,White,Not Hispanic or Latino,2,Robbery,2,College/University Campus,Antisemitic,Adult,1,0
2013,Municipal,AR,Arkansas,2013-07-01,0,1,1,0,1,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1,Parking Garage,Anti-Latino,Juvenile,1,0
2014,State,IA,Iowa,2014-10-01,1,0,1,1,0,Asian,Not Hispanic or Latino,1,Hate Crime Against Sexual Orientation,1,Business (Non-Retail),LGBTQ+ Hate Crime,Adult,0,0
1991,State,"""AL""","""Alabama""","""1991-01-01""","""2""","""1""","""3""","""2""","""1""","""W""","""H""","""3""","""Larceny""","""3""","""Birmingham""","""Racial Bias""","""Adult","Juvenile""","""N"""
1993,Local,"""CA""","""California""","""1993-06-15""","""1""","""0""","""2""","""1""","""1""","""B""","""H""","""1""","""Simple Assault""","""1""","""Los Angeles""","""Ethnic/National Origin Bias""","""Adult""","""N""","""Ethnic/National Origin"""
1996,Federal,"""FL""","""Florida""","""1996-03-20""","""0""","""2""","""2""","""0""","""2""","""W""","""H""","""2""","""Intimidation""","""2""","""Miami""","""Religious Bias""","""Juvenile""","""N""","""Religious"""
1992,State,"""NY""","""New York""","""1992-09-01""","""3""","""0""","""4""","""3""","""1""","""B""","""H""","""3""","""Vandalism""","""3""","""New York""","""Sexual Orientation Bias""","""Adult""","""N""","""Sexual Orientation"""
1998,Local,"""TX""","""Texas""","""1998-11-25""","""1""","""0""","""1""","""1""","""0""","""A""","""W""","""1""","""Aggravated Assault""","""1""","""Houston""","""Disability Bias""","""Adult""","""N""","""Disability"""
1994,Federal,"""IL""","""Illinois""","""1994-02-10""","""0""","""1""","""1""","""0""","""1""","""B""","""H""","""1""","""Simple Assault""","""1""","""Chicago""","""Racial Bias""","""Juvenile""","""N""","""Racial"""
1995,State,"""GA""","""Georgia""","""1995-07-22""","""2""","""0""","""2""","""2""","""0""","""W""","""H""","""2""","""Larceny""","""2""","""Atlanta""","""Ethnic/National Origin Bias""","""Adult""","""N""","""Ethnic/National Origin"""
1999,Local,"""MI""","""Michigan""","""1999-05-01""","""1""","""0""","""1""","""1""","""0""","""B""","""H""","""1""","""Simple Assault""","""1""","""Detroit""","""Religious Bias""","""Adult""","""N""","""Religious"""
1990,Federal,"""NC""","""North Carolina""","""1990-10-15""","""0""","""2""","""2""","""0""","""2""","""W""","""H""","""2""","""Intimidation""","""2""","""Raleigh""","""Sexual Orientation Bias""","""Juvenile""","""N""","""Sexual Orientation"""
1997,State,"""WI""","""Wisconsin""","""1997-04-20""","""3""","""0""","""3""","""3""","""0""","""B""","""H""","""3""","""Vandalism""","""3""","""Madison""","""Disability Bias""","""Adult""","""N""","""Disability"""
1993,Local,"""NJ""","""New Jersey""","""1993-01-15""","""1""","""0""","""1""","""1""","""0""","""A""","""W""","""1""","""Aggravated Assault""","""1""","""Trenton""","""Racial Bias""","""Adult""","""N""","""Racial"""
1996,Federal,"""TN""","""Tennessee""","""1996-09-01""","""0""","""1""","""1""","""0""","""1""","""B""","""H""","""1""","""Simple Assault""","""1""","""Nashville""","""Ethnic/National Origin Bias""","""Juvenile""","""N""","""Ethnic/National Origin"""
1992,State,"""OH""","""Ohio""","""1992-06-01""","""2""","""0""","""2""","""2""","""0""","""W""","""H""","""2""","""Larceny""","""2""","""Columbus""","""Sexual Orientation Bias""","""Adult""","""N""","""Sexual Orientation"""
1998,Local,"""SC""","""South Carolina""","""1998-03-25""","""1""","""0""","""1""","""1""","""0""","""B""","""H""","""1""","""Simple Assault""","""1""","""Columbia""","""Disability Bias""","""Adult""","""N""","""Disability"""
1994,Federal,"""MS""","""Mississippi""","""1994-11-10""","""0""","""2""","""2""","""0""","""2""","""W""","""H""","""2""","""Intimidation""","""2""","""Jackson""","""Racial Bias""","""Juvenile""","""N""","""Racial"""
1995,State,"""IN""","""Indiana""","""1995-01-01""","""2""","""0""","""2""","""2""","""0""","""A""","""W""","""2""","""Larceny""","""2""","""Indianapolis""","""Ethnic/National Origin Bias""","""Adult""","""N""","""Ethnic/National Origin"""
1999,Local,"""KY""","""Kentucky""","""1999-06-15""","""1""","""0""","""1""","""1""","""0""","""B""","""H""","""1""","""Simple Assault""","""1""","""Frankfort""","""Sexual Orientation Bias""","""Adult""","""N""","""Sexual Orientation"""
1990,Federal,"""AZ""","""Arizona""","""1990-04-10""","""0""","""1""","""1""","""0""","""1""","""W""","""H""","""1""","""Simple Assault""","""1""","""Phoenix""","""Disability Bias""","""Juvenile""","""N""","""Disability"""
1997,State,"""IA""","""Iowa""","""1997-09-20""","""3""","""0""","""3""","""3""","""0""","""B""","""H""","""3""","""Vandalism""","""3""","""Des Moines""","""Racial Bias""","""Adult""","""N""","""Racial"""
1993,Local,"""UT""","""Utah""","""1993-08-01""","""1""","""0""","""1""","""1""","""0""","""A""","""W""","""1""","""Aggravated Assault""","""1""","""Salt Lake City""","""Ethnic/National Origin Bias""","""Adult""","""N""","""Ethnic/National Origin"""
1996,Federal,"""VT""","""Vermont""","""1996-02-15""","""0""","""2""","""2""","""0""","""2""","""W""","""H""","""2""","""Intimidation""","""2""","""Montpelier""","""Sexual Orientation Bias""","""Juvenile""","""N""","""Sexual Orientation"""
1992,State,"""MN""","""Minnesota""","""1992-11-01""","""2""","""0""","""2""","""2""","""0""","""B""","""H""","""2""","""Larceny""","""2""","""St. Paul""","""Disability Bias""","""Adult""","""N""","""Disability"""
1998,Local,"""NV""","""Nevada""","""1998-05-25""","""1""","""0""","""1""","""1""","""0""","""A""","""W""","""1""","""Simple Assault""","""1""","""Carson City""","""Racial Bias""","""Adult""","""N""","""Racial"""
1994,Federal,"""NE""","""Nebraska""","""1994-08-10""","""0""","""1""","""1""","""0""","""1""","""B""","""H""","""1""","""Simple Assault""","""1""","""Lincoln""","""Ethnic/National Origin Bias""","""Juvenile""","""N""","""Ethnic/National Origin"""
1995,State,"""CT""","""Connecticut""","""1995-09-01""","""2""","""0""","""2""","""2""","""0""","""W""","""H""","""2""","""Larceny""","""2""","""Hartford""","""Sexual Orientation Bias""","""Adult""","""N""","""Sexual Orientation"""
1999,Local,"""WY""","""Wyoming""","""1999-03-01""","""1""","""0""","""1""","""1""","""0""","""B""","""H""","""1""","""Simple Assault""","""1""","""Cheyenne""","""Disability Bias""","""Adult""","""N""","""Disability"""
1990,Federal,"""SD""","""South Dakota""","""1990-06-15""","""0""","""2""","""2""","""0""","""2""","""W""","""H""","""2""","""Intimidation""","""2""","""Pierre""","""Racial Bias""","""Juvenile""","""N""","""Racial"""
1997,State,"""MA""","""Massachusetts""","""1997-01-20""","""3""","""0""","""3""","""3""","""0""","""A""","""W""","""3""","""Vandalism""","""3""","""Boston""","""Ethnic/National Origin Bias""","""Adult""","""N""","""Ethnic/National Origin"""
1993,Local,"""ME""","""Maine""","""1993-10-01""","""1""","""0""","""1""","""1""","""0""","""B""","""H""","""1""","""Simple Assault""","""1""","""Augusta""","""Sexual Orientation Bias""","""Adult""","""N""","""Sexual Orientation"""
1996,Federal,"""ND""","""North Dakota""","""1996-04-10""","""0""","""1""","""1""","""0""","""1""","""W""","""H""","""1""","""Simple Assault""","""1""","""Bismarck""","""Disability Bias""","""Juvenile""","""N""","""Disability"""
1992,State,"""RI""","""Rhode Island""","""1992-07-01""","""2""","""0""","""2""","""2""","""0""","""A""","""W""","""2""","""Larceny""","""2""","""Providence""","""Racial Bias""","""Adult""","""N""","""Racial"""
1998,Local,"""ID""","""Idaho""","""1998-09-25""","""1""","""0""","""1""","""1""","""0""","""B""","""H""","""1""","""Simple Assault""","""1""","""Boise""","""Ethnic/National Origin Bias""","""Adult""","""N""","""Ethnic/National Origin"""
1994,Federal,"""MT""","""Montana""","""1994-03-10""","""0""","""2""","""2""","""0""","""2""","""W""","""H""","""2""","""Intimidation""","""2""","""Helena""","""Sexual Orientation Bias""","""Juvenile""","""N""","""Sexual Orientation"""
1995,State,"""CO""","""Colorado""","""1995-02-01""","""2""","""0""","""2""","""2""","""0""","""A""","""W""","""2""","""Larceny""","""2""","""Denver""","""Disability Bias""","""Adult""","""N""","""Disability"""
1999,Local,"""HI""","""Hawaii""","""1999-08-15""","""1""","""0""","""1""","""1""","""0""","""B""","""H""","""1""","""Simple Assault""","""1""","""Honolulu""","""Racial Bias""","""Adult""","""N""","""Racial"""
1990,Federal,"""KS""","""Kansas""","""1990-01-15""","""0""","""2""","""2""","""0""","""2""","""W""","""H""","""2""","""Intimidation""","""2""","""Topeka""","""Ethnic/National Origin Bias""","""Juvenile""","""N""","""Ethnic/National Origin"""
1997,State,"""MO""","""Missouri""","""1997-05-20""","""3""","""0""","""3""","""3""","""0""","""B""","""H""","""3""","""Vandalism""","""3""","""Jefferson City""","""Sexual Orientation Bias""","""Adult""","""N""","""Sexual Orientation"""
1993,Local,"""AR""","""Arkansas""","""1993-12-01""","""1""","""0""","""1""","""1""","""0""","""A""","""W""","""1""","""Aggravated Assault""","""1""","""Little Rock""","""Disability Bias""","""Adult""","""N""","""Disability"""
1996,Federal,"""OK""","""Oklahoma""","""1996-06-10""","""0""","""1""","""1""","""0""","""1""","""W""","""H""","""1""","""Simple Assault""","""1""","""Oklahoma City""","""Racial Bias""","""Juvenile""","""N""","""Racial"""
1992,State,"""LA""","""Louisiana""","""1992-08-01""","""2""","""0""","""2""","""2""","""0""","""B""","""H""","""2""","""Larceny""","""2""","""Baton Rouge""","""Ethnic/National Origin Bias""","""Adult""","""N""","""Ethnic/National Origin"""
1998,Local,"""DE""","""Delaware""","""1998-10-25""","""1""","""0""","""1""","""1""","""0""","""A""","""W""","""1""","""Simple Assault""","""1""","""Dover""","""Sexual Orientation Bias""","""Adult""","""N""","""Sexual Orientation"""
1994,Federal,"""OR""","""Oregon""","""1994-01-10""","""0""","""2""","""2""","""0""","""2""","""W""","""H""","""2""","""Intimidation""","""2""","""Salem""","""Disability Bias""","""Juvenile""","""N""","""Disability"""
1995,State,"""NM""","""New Mexico""","""1995-03-01""","""2""","""0""","""2""","""2""","""0""","""B""","""H""","""2""","""Larceny""","""2""","""Santa Fe""","""Racial Bias""","""Adult""","""N""","""Racial"""
1999,Local,"""WA""","""Washington""","""1999-11-15""","""1""","""0""","""1""","""1""","""0""","""A""","""W""","""1""","""Simple Assault""","""1""","""Olympia""","""Ethnic/National Origin Bias""","""Adult""","""N""","""Ethnic/National Origin"
,State Police,AL,Alabama,1992-01-15,1,1,2,1,1,White,Not Hispanic or Latino,2,Simple Assault,2,University Campus,Anti-White,"Adult, Youth",True,True
,Local Police Department,AZ,Arizona,1992-03-22,2,0,1,1,0,Hispanic or Latino,Not Hispanic or Latino,2,Vandalism,2,Residential Area,Anti-White,Adult,False,True
,Law Enforcement Agency,CA,California,1995-09-11,0,1,1,0,1,Asian,Not Hispanic or Latino,1,Intimidation,1,Public Transportation,Anti-Asian,Youth,True,False
,State Police,CT,Connecticut,1991-04-20,1,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Aggravated Assault,1,Residential Area,Anti-Black,Adult,True,False
,Local Police Department,FL,Florida,2001-07-14,1,0,1,1,0,White,Not Hispanic or Latino,1,Simple Assault,1,University Campus,Anti-White,Adult,True,False
,Law Enforcement Agency,GA,Georgia,1996-02-18,2,0,1,2,0,Hispanic or Latino,Not Hispanic or Latino,2,Intimidation,2,Public Transportation,Anti-Hispanic,Adult,True,False
,Local Police Department,IL,Illinois,2011-01-28,0,1,1,0,1,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,1,Vandalism,1,School/College,Anti-Native American,Youth,True,False
