data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1998,State,AR,Arkansas,1998-01-01,1,0,1,1,0,Hispanic,Non-Hispanic,1,Anti-Disability,1,Park,Anti-Disability,Adult,No,No
1998,Federal,DE,Delaware,1998-03-20,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Racial/Ethnic,1,Residence,Anti-Racial/Ethnic,Adult,No,No
1998,Local,OR,Oregon,1998-06-10,1,0,2,1,1,White,Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
1998,State,MS,Mississippi,1998-08-25,0,1,1,0,1,Asian,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
1998,Federal,MT,Montana,1998-10-01,1,0,1,1,0,Hispanic,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
1999,Local,GA,Georgia,1999-01-15,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
1999,State,NV,Nevada,1999-03-20,1,0,2,1,1,White,Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
1999,Federal,ID,Idaho,1999-06-25,0,1,1,0,1,Asian,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
1999,Local,CT,Connecticut,1999-09-01,1,0,1,1,0,Hispanic,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
1999,State,AL,Alabama,1999-11-15,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Disability,1,Business,Anti-Disability,Adult,No,No
2000,Federal,ME,Maine,2000-01-10,1,0,1,1,0,White,Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2000,Local,MN,Minnesota,2000-03-20,0,1,1,0,1,Asian,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2000,State,SD,South Dakota,2000-06-25,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2000,Federal,RI,Rhode Island,2000-09-01,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2000,Local,ND,North Dakota,2000-11-15,1,0,1,1,0,Asian,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2001,State,WY,Wyoming,2001-01-01,0,1,1,0,1,White,Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2001,Federal,HI,Hawaii,2001-03-20,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2001,Local,VT,Vermont,2001-06-25,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2001,State,AK,Alaska,2001-09-01,1,0,1,1,0,Asian,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2001,Federal,MD,Maryland,2001-11-15,0,1,1,0,1,White,Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2002,Local,PA,Pennsylvania,2002-01-10,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2002,State,CO,Colorado,2002-03-20,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2002,Federal,NV,Nevada,2002-06-25,1,0,1,1,0,Asian,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2002,Local,NM,New Mexico,2002-09-01,0,1,1,0,1,White,Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2002,State,HI,Hawaii,2002-11-15,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2003,Federal,UT,Utah,2003-01-01,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2003,Local,OK,Oklahoma,2003-03-20,1,0,1,1,0,White,Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2003,State,WY,Wyoming,2003-06-25,0,1,1,0,1,Asian,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2003,Federal,ME,Maine,2003-09-01,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2003,Local,MS,Mississippi,2003-11-15,0,0,1,0,1,White,Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2004,State,ND,North Dakota,2004-01-01,1,0,1,1,0,Asian,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2004,Federal,GA,Georgia,2004-03-20,0,1,1,0,1,Black,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2004,Local,AZ,Arizona,2004-06-25,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2004,State,VT,Vermont,2004-09-01,0,0,1,0,1,White,Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2004,Federal,NE,Nebraska,2004-11-15,1,0,1,1,0,Asian,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2005,Local,LA,Louisiana,2005-01-10,0,1,1,0,1,Black,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2005,State,WV,West Virginia,2005-03-20,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2005,Federal,DE,Delaware,2005-06-25,0,0,1,0,1,White,Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2005,Local,TN,Tennessee,2005-09-01,1,0,1,1,0,Asian,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2005,State,KY,Kentucky,2005-11-15,0,1,1,0,1,Black,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2006,Federal,NH,New Hampshire,2006-01-01,1,0,1,1,0,White,Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2006,Local,SC,South Carolina,2006-03-20,0,0,1,0,1,Asian,Non-Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2006,State,AK,Alaska,2006-06-25,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2006,Federal,RI,Rhode Island,2006-09-01,0,1,1,0,1,Black,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2006,Local,MI,Michigan,2006-11-15,1,0,1,1,0,White,Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2007,State,NC,North Carolina,2007-01-01,0,1,1,0,1,Asian,Non-Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Juvenile,No,No
2007,Federal,WV,West Virginia,2007-03-20,1,0,2,1,1,Hispanic,Non-Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2007,Local,UT,Utah,2007-06-25,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Adult,No,No
2007,State,ME,Maine,2007-09-01,1,0,1,1,0,White,Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2007,Federal,AR,Arkansas,2007-11-15,0,1,1,0,1,Asian,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2008,Local,IN,Indiana,2008-01-10,1,0,1,1,0,Hispanic,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
2008,State,SC,South Carolina,2008-03-20,0,0,1,0,1,Black,Non-Hispanic,1,Anti-Disability,1,Residence,Anti-Disability,Adult,No,No
2008,Federal,SD,South Dakota,2008-06-25,1,0,2,1,1,White,Hispanic,2,Anti-Gender Identity,2,Business,Anti-Gender Identity,Adult,No,No
2008,Local,KY,Kentucky,2008-09-01,0,1,1,0,1,Asian,Non-Hispanic,1,Anti-Religious,1,School,Anti-Religious,Juvenile,No,No
2008,State,HI,Hawaii,2008-11-15,1,0,1,1,0,Hispanic,Non-Hispanic,1,Anti-Racial/Ethnic,1,Park,Anti-Racial/Ethnic,Adult,No,No
Data Year,Agency Type Name,State Abbreviation,State Name,Incident Date,Adult Victim Count,Juvenile Victim Count,Total Offender Count,Adult Offender Count,Juvenile Offender Count,Offender Race,Offender Ethnicity,Victim Count,Offense Name,Total Individual Victims,Location Name,Bias Description,Victim Types,Multiple Offense,Multiple Bias
1991,Police Department,NY,New York,1991-01-01,2,0,1,1,0,White,Non-Hispanic,2,Simple Assault,2,Public Place,Anti-White,Adult,Yes,
1991,Sheriff's Office,FL,Florida,1991-02-15,1,0,1,1,0,Black,Non-Hispanic,1,Intimidation,1,Residence,Anti-Black,Adult,No,
1991,Police Department,CA,California,1991-03-20,1,0,1,1,0,Asian,Non-Hispanic,1,Simple Assault,1,Public Place,Anti-Asian,Adult,Yes,
1991,City or Town,TX,Texas,1991-04-05,2,0,2,2,0,Hispanic,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Hispanic,Adult,Yes,
1991,Sheriff's Office,IL,Illinois,1991-05-10,1,0,1,1,0,White,Hispanic,1,Intimidation,1,Residence,Anti-White,Adult,No,
1991,Police Department,MI,Michigan,1991-06-15,1,0,1,1,0,Black,Non-Hispanic,1,Simple Assault,1,Public Place,Anti-Black,Adult,Yes,
1991,City or Town,NJ,New Jersey,1991-07-01,2,0,2,2,0,Asian,Hispanic,2,Vandalism,2,Public Place,Anti-Asian,Adult,Yes,
1991,Sheriff's Office,GA,Georgia,1991-08-05,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Adult,No,
1991,Police Department,MA,Massachusetts,1991-09-15,1,0,1,1,0,Black,Non-Hispanic,1,Simple Assault,1,Public Place,Anti-Black,Adult,Yes,
1991,City or Town,AZ,Arizona,1991-10-01,2,0,2,2,0,Hispanic,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Hispanic,Adult,Yes,
1992,Sheriff's Office,IN,Indiana,1992-01-01,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Adult,No,
1992,Police Department,NC,North Carolina,1992-02-15,2,0,2,2,0,Black,Non-Hispanic,2,Simple Assault,2,Public Place,Anti-Black,Adult,Yes,
1992,City or Town,OH,Ohio,1992-03-20,1,0,1,1,0,Asian,Non-Hispanic,1,Intimidation,1,Public Place,Anti-Asian,Adult,Yes,
1992,Sheriff's Office,SC,South Carolina,1992-04-05,1,0,1,1,0,White,Hispanic,1,Simple Assault,1,Residence,Anti-White,Adult,No,
1992,Police Department,WA,Washington,1992-05-10,2,0,2,2,0,Black,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Black,Adult,Yes,
1992,City or Town,TN,Tennessee,1992-06-15,1,0,1,1,0,Asian,Hispanic,1,Intimidation,1,Public Place,Anti-Asian,Adult,Yes,
1992,Sheriff's Office,MO,Missouri,1992-07-01,2,0,2,2,0,Hispanic,Non-Hispanic,2,Simple Assault,2,Residence,Anti-Hispanic,Adult,Yes,
1992,Police Department,CT,Connecticut,1992-08-05,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Public Place,Anti-White,Adult,No,
1992,City or Town,VT,Vermont,1992-09-15,2,0,2,2,0,Black,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Black,Adult,Yes,
1992,Sheriff's Office,KY,Kentucky,1992-10-01,1,0,1,1,0,Asian,Hispanic,1,Simple Assault,1,Residence,Anti-Asian,Adult,No,
1993,Police Department,MD,Maryland,1993-01-01,2,0,2,2,0,White,Non-Hispanic,2,Intimidation,2,Public Place,Anti-White,Adult,Yes,
1993,Sheriff's Office,LA,Louisiana,1993-02-15,1,0,1,1,0,Black,Non-Hispanic,1,Simple Assault,1,Residence,Anti-Black,Adult,No,
1993,City or Town,NV,Nevada,1993-03-20,1,0,1,1,0,Asian,Non-Hispanic,1,Intimidation,1,Public Place,Anti-Asian,Adult,Yes,
1993,Sheriff's Office,OR,Oregon,1993-04-05,2,0,2,2,0,Hispanic,Non-Hispanic,2,Vandalism,2,Residence,Anti-Hispanic,Adult,Yes,
1993,Police Department,RI,Rhode Island,1993-05-10,1,0,1,1,0,White,Hispanic,1,Simple Assault,1,Public Place,Anti-White,Adult,No,
1993,City or Town,ND,North Dakota,1993-06-15,2,0,2,2,0,Black,Non-Hispanic,2,Intimidation,2,Public Place,Anti-Black,Adult,Yes,
1993,Sheriff's Office,MS,Mississippi,1993-07-01,1,0,1,1,0,Asian,Hispanic,1,Simple Assault,1,Residence,Anti-Asian,Adult,No,
1993,Police Department,DE,Delaware,1993-08-05,1,0,1,1,0,Hispanic,Non-Hispanic,1,Intimidation,1,Public Place,Anti-Hispanic,Adult,Yes,
1993,City or Town,AK,Alaska,1993-09-15,2,0,2,2,0,White,Non-Hispanic,2,Vandalism,2,Residence,Anti-White,Adult,Yes,
1993,Sheriff's Office,WY,Wyoming,1993-10-01,1,0,1,1,0,Black,Non-Hispanic,1,Simple Assault,1,Public Place,Anti-Black,Adult,No,
1994,Police Department,NE,Nebraska,1994-01-01,2,0,2,2,0,Asian,Hispanic,2,Intimidation,2,Public Place,Anti-Asian,Adult,Yes,
1994,Sheriff's Office,CO,Colorado,1994-02-15,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Residence,Anti-White,Adult,No,
1994,City or Town,UT,Utah,1994-03-20,1,0,1,1,0,Black,Non-Hispanic,1,Intimidation,1,Public Place,Anti-Black,Adult,Yes,
1994,Sheriff's Office,VT,Vermont,1994-04-05,2,0,2,2,0,Hispanic,Non-Hispanic,2,Vandalism,2,Residence,Anti-Hispanic,Adult,Yes,
1994,Police Department,ME,Maine,1994-05-10,1,0,1,1,0,White,Hispanic,1,Simple Assault,1,Public Place,Anti-White,Adult,No,
1994,City or Town,ID,Idaho,1994-06-15,2,0,2,2,0,Asian,Non-Hispanic,2,Intimidation,2,Public Place,Anti-Asian,Adult,Yes,
1994,Sheriff's Office,MT,Montana,1994-07-01,1,0,1,1,0,Black,Non-Hispanic,1,Simple Assault,1,Residence,Anti-Black,Adult,No,
1994,Police Department,SD,South Dakota,1994-08-05,2,0,2,2,0,Hispanic,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Hispanic,Adult,Yes,
1994,City or Town,HI,Hawaii,1994-09-15,1,0,1,1,0,White,Hispanic,1,Intimidation,1,Public Place,Anti-White,Adult,No,
1994,Sheriff's Office,NM,New Mexico,1994-10-01,1,0,1,1,0,Asian,Non-Hispanic,1,Simple Assault,1,Residence,Anti-Asian,Adult,No,
1995,Police Department,IA,Iowa,1995-01-01,2,0,2,2,0,Hispanic,Non-Hispanic,2,Intimidation,2,Public Place,Anti-Hispanic,Adult,Yes,
1995,Sheriff's Office,KS,Kansas,1995-02-15,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Residence,Anti-White,Adult,No,
1995,City or Town,MN,Minnesota,1995-03-20,1,0,1,1,0,Black,Non-Hispanic,1,Intimidation,1,Public Place,Anti-Black,Adult,Yes,
1995,Sheriff's Office,OK,Oklahoma,1995-04-05,2,0,2,2,0,Asian,Hispanic,2,Vandalism,2,Residence,Anti-Asian,Adult,Yes,
1995,Police Department,AR,Arkansas,1995-05-10,1,0,1,1,0,White,Hispanic,1,Simple Assault,1,Public Place,Anti-White,Adult,No,
1995,City or Town,WV,West Virginia,1995-06-15,2,0,2,2,0,Black,Non-Hispanic,2,Intimidation,2,Public Place,Anti-Black,Adult,Yes,
1995,Sheriff's Office,NC,North Carolina,1995-07-01,1,0,1,1,0,Hispanic,Non-Hispanic,1,Simple Assault,1,Residence,Anti-Hispanic,Adult,No,
1995,Police Department,RI,Rhode Island,1995-08-05,1,0,1,1,0,Asian,Non-Hispanic,1,Intimidation,1,Public Place,Anti-Asian,Adult,Yes,
1995,City or Town,GA,Georgia,1995-09-15,2,0,2,2,0,White,Hispanic,2,Vandalism,2,Public Place,Anti-White,Adult,Yes,
1995,Sheriff's Office,SC,South Carolina,1995-10-01,1,0,1,1,0,Black,Non-Hispanic,1,Simple Assault,1,Residence,Anti-Black,Adult,No,
1996,Police Department,CT,Connecticut,1996-01-01,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Public Place,Anti-White,Adult,No,
1996,Sheriff's Office,ME,Maine,1996-02-15,2,0,2,2,0,Hispanic,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Hispanic,Adult,Yes,
1996,City or Town,VT,Vermont,1996-03-20,1,0,1,1,0,Black,Non-Hispanic,1,Simple Assault,1,Residence,Anti-Black,Adult,No,
1996,Sheriff's Office,NH,New Hampshire,1996-04-05,2,0,2,2,0,Asian,Hispanic,2,Intimidation,2,Public Place,Anti-Asian,Adult,Yes,
1996,Police Department,MA,Massachusetts,1996-05-10,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Public Place,Anti-White,Adult,No,
1996,City or Town,RI,Rhode Island,1996-06-15,2,0,2,2,0,Black,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Black,Adult,Yes,
1996,Sheriff's Office,NY,New York,1996-07-01,1,0,1,1,0,Asian,Non-Hispanic,1,Intimidation,1,Residence,Anti-Asian,Adult,No,
1996,Police Department,MD,Maryland,1996-08-05,2,0,2,2,0,Hispanic,Non-Hispanic,2,Simple Assault,2,Public Place,Anti-Hispanic,Adult,Yes,
1996,City or Town,DE,Delaware,1996-09-15,1,0,1,1,0,White,Hispanic,1,Intimidation,1,Public Place,Anti-White,Adult,No,
1996,Sheriff's Office,WV,West Virginia,1996-10-01,2,0,2,2,0,Black,Non-Hispanic,2,Vandalism,2,Residence,Anti-Black,Adult,Yes,
1997,Police Department,TN,Tennessee,1997-01-01,1,0,1,1,0,Asian,Non-Hispanic,1,Simple Assault,1,Public Place,Anti-Asian,Adult,No,
1997,Sheriff's Office,KY,Kentucky,1997-02-15,2,0,2,2,0,Hispanic,Non-Hispanic,2,Intimidation,2,Public Place,Anti-Hispanic,Adult,Yes,
1997,City or Town,AL,Alabama,1997-03-20,1,0,1,1,0,White,Non-Hispanic,1,Simple Assault,1,Residence,Anti-White,Adult,No,
1997,Sheriff's Office,MS,Mississippi,1997-04-05,2,0,2,2,0,Black,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Black,Adult,Yes,
1997,Police Department,GA,Georgia,1997-05-10,1,0,1,1,0,Asian,Hispanic,1,Intimidation,1,Public Place,Anti-Asian,Adult,Yes,
1997,City or Town,SC,South Carolina,1997-06-15,2,0,2,2,0,White,Non-Hispanic,2,Simple Assault,2,Public Place,Anti-White,Adult,Yes,
1997,Sheriff's Office,LA,Louisiana,1997-07-01,1,0,1,1,0,Black,Non-Hispanic,1,Intimidation,1,Residence,Anti-Black,Adult,No,
1997,Police Department,NC,North Carolina,1997-08-05,2,0,2,2,0,Hispanic,Non-Hispanic,2,Vandalism,2,Public Place,Anti-Hispanic,Adult,Yes,
1997,City or Town,VA,Virginia,1997-09-15,1,0,1,1,0,Asian,Non-Hispanic,1,Simple Assault,1,Public Place,Anti-Asian,Adult,No,
1997,Sheriff's Office,WV,West Virginia,1997-10-01,1,0,1,1,0,White,Hispanic,1,Intimidation,1,Residence,Anti-White,Adult,No,
1998,Police Department,ME,Maine,1998-01-01,1,0,1,1,0,Black,Non-Hispanic,1,Simple Assault,1,Public Place,Anti-Black,Adult,No,
1998,Sheriff's Office,VT,Vermont,1998-02-15,2,0,2,2,0,Hispanic,Non-Hispanic,2,Intimidation,2,Public Place,Anti-Hispanic,Adult,Yes,
1998,City or Town,NH,New Hampshire,1998-03-20,1,0,1,1,0,Asian,Non-Hispanic,1,Simple Assault,1,Residence,Anti-Asian,Adult,No,
1998,Sheriff's Office,RI,Rhode Island,1998-04-05,2,0,2,2,0,White,Non-Hispanic,2,Vandalism,2,Public Place,Anti-White,Adult,Yes,
1998,Police Department,MA,Massachusetts,1998-05-10,1,0,1,1,0,Black,Non-Hispanic,1,Intimidation,1,Public Place,Anti-Black,Adult,No,
1998,City or Town,CT,Connecticut,1998-06-15,2,0,2,2,0,Hispanic,Non-Hispanic,2,Simple Assault,2,Public Place,Anti-Hispanic,Adult,Yes,
1998,Sheriff's Office,MD,Maryland,1998-07-01,1,0,1,1,0,Asian,Non-Hispanic,1,Intimidation,1,Residence,Anti-Asian,Adult,No,
1991,Local,,,1991-07-25,1,0,1,1,0,White,Unknown,1,Anti-Black,1,Residence,Anti-Black,Adult,False,False
1992,State,,New York,1992-01-01,0,1,1,1,0,Asian,Hispanic,1,Anti-Multiple,1,Residence,Anti-Multiple,Juvenile,False,False
1993,Local,,,1993-03-15,0,0,2,1,1,Black,Unknown,2,Anti-Homosexual,2,Residence,Anti-Homosexual,Multiple,True,False
1994,Federal,USA,,1994-05-10,1,0,1,1,0,White,Unknown,1,Anti-Jewish,1,Residence,Anti-Jewish,Adult,False,False
1995,State,,,1995-08-25,0,1,2,2,0,Asian,Hispanic,1,Anti-Rape,1,Residence,Anti-Rape,Juvenile,False,False
1996,Local,,,1996-09-15,1,0,1,1,0,Black,Unknown,1,Anti-Asian,1,Residence,Anti-Asian,Adult,False,False
1997,Federal,USA,,1997-02-01,0,1,1,1,0,White,Unknown,1,Anti-Homosexual,1,Residence,Anti-Homosexual,Juvenile,False,False
1998,State,,,1998-11-25,1,0,2,2,0,Black,Unknown,1,Anti-Multiple,1,Residence,Anti-Multiple,Adult,False,False
1999,Local,,,1999-06-10,0,1,1,1,0,Asian,Hispanic,1,Anti-Rape,1,Residence,Anti-Rape,Juvenile,False,False
2000,Federal,USA,,2000-03-25,1,0,1,1,0,White,Unknown,1,Anti-Jewish,1,Residence,Anti-Jewish,Adult,False,False
2001,State,,,2001-08-01,0,1,2,2,0,Asian,Hispanic,1,Anti-Multiple,1,Residence,Anti-Multiple,Juvenile,False,False
2002,Local,,,2002-09-15,1,0,1,1,0,Black,Unknown,1,Anti-Asian,1,Residence,Anti-Asian,Adult,False,False
